2019-12-30 13:33:37+00:00; alexandregarcia; Minha resposta às mulheres. E a uma operadora de call center https://t.co/3OaOyOiQxO via @YouTube; 19; 84; 1048; 0; https://twitter.com/alexandregarcia/status/1211641492009373696; None; None
2019-09-16 23:00:04+00:00; alexandregarcia; Esse pessoal daí sabe o que é poleiro? Já debulhou milho? Sabe como a mão escorre num cabo de enxada? Já pregou uma ferradura? Encaixou um aro de carroça? Ajudou a castrar porco? Hehe... bons tempos! https://t.co/WWh8YF9JU3; 262; 805; 5943; 29; https://twitter.com/alexandregarcia/status/1173733317012860937; None; https://twitter.com/xicograziano/status/1173719632047460353
2019-09-16 11:37:42+00:00; alexandregarcia; Assassinada pela pessoa que começou o fogo. https://t.co/9ttWwYXGqs; 126; 396; 3604; 10; https://twitter.com/alexandregarcia/status/1173561593847848961; None; https://twitter.com/anadubeux/status/1173331831577620480
2019-09-15 17:31:42+00:00; alexandregarcia; 116 anos do Grêmio. Eu entrevistando o presidente Ary Delgado. E o autógrafo do técnico Foguinho: https://t.co/QE9Gi5Umaj; 45; 151; 2105; 7; https://twitter.com/alexandregarcia/status/1173288291703164929; None; None
2019-09-15 11:59:33+00:00; alexandregarcia; Hoje é o Dia Internacional da Democracia, “governo do povo, pelo povo, para o povo”, em que todos são iguais perante a Lei. É o Império da Lei e da Ética. Um Ideal, constante aspiração e conquista. Que exige participação e vigilância.; 480; 2371; 16219; 126; https://twitter.com/alexandregarcia/status/1173204703653650432; None; None
2019-09-14 16:45:55+00:00; alexandregarcia; @Miltonneves Igreja de NS do Carmo, em Campos Gerais do Dondinho. https://t.co/F1oS7f3cjr; 11; 17; 386; 1; https://twitter.com/alexandregarcia/status/1172914385729347586; None; None
2019-09-14 11:36:28+00:00; alexandregarcia; O impressionismo no amanhecer do sábado. Aproveite o dia! https://t.co/DMdSZodJiO; 181; 188; 5158; 8; https://twitter.com/alexandregarcia/status/1172836507348082688; None; None
2019-09-13 13:26:00+00:00; alexandregarcia; País quebrado pela corrupção e pela incompetência. Aí, falta para tudo, inclusive Educação: https://t.co/d4Y3lCKgml; 164; 1025; 6576; 30; https://twitter.com/alexandregarcia/status/1172501686201540608; None; None
2019-09-13 12:31:27+00:00; alexandregarcia; Pois nasceu lá. Em 2 de outubro de 1917 e, segundo o tio de minha mulher, jogava mais que o Pelé - e duvido que o Edson vá discordar. https://t.co/XTEcvzxaf4; 25; 92; 1578; 2; https://twitter.com/alexandregarcia/status/1172487959272202242; None; https://twitter.com/Miltonneves/status/1172481845688229888
2019-09-13 00:01:45+00:00; alexandregarcia; Só fala de Muzambinho e finge que não conhece Campos Gerais... Terra do Dondinho, melhor que o filho. https://t.co/ob3NdMfXDE; 93; 240; 3846; 16; https://twitter.com/alexandregarcia/status/1172299291416772608; None; https://twitter.com/Miltonneves/status/1171978938463203328
2019-09-12 13:17:06+00:00; alexandregarcia; Veja o original de meu comentário de 29 de março, sobre legítima defesa na Itália, que circula adulterado no WhatsApp: https://t.co/fOnYEGlL4E; 36; 406; 2515; 10; https://twitter.com/alexandregarcia/status/1172137058296635392; None; None
2019-09-11 23:03:47+00:00; alexandregarcia; Olha eu aí. https://t.co/lxp6PPsFmK; 39; 188; 1656; 5; https://twitter.com/alexandregarcia/status/1171922311685050368; None; None
2019-09-11 15:31:13+00:00; alexandregarcia; Algum desonesto safado editou um comentário meu sobre nova lei italiana de legítima defesa, passando enganosamente a ideia de que seria no Brasil. Pessoas assim desabonam a credibilidade das redes sociais.; 449; 3549; 25719; 61; https://twitter.com/alexandregarcia/status/1171808419898175488; None; None
2019-09-11 15:00:28+00:00; alexandregarcia; Às vezes aparecem manifestações de “Resistência!”. Resistência a quê? Resistência à vontade da maioria, expressa nas urnas de outubro. Resistência, portanto, à democracia, revelando a natureza totalitária dessa “resistência “. Veja mais: https://t.co/Y1pBgoIj2K; 361; 3100; 14324; 109; https://twitter.com/alexandregarcia/status/1171800683470827520; None; None
2019-09-10 21:00:35+00:00; alexandregarcia; Para uma Antônia Fontenelle curiosa, respostas “na lata”: https://t.co/YQOna9M9Ve; 76; 276; 2582; 6; https://twitter.com/alexandregarcia/status/1171528919637315585; None; None
2019-09-10 14:51:14+00:00; alexandregarcia; O fogo recém começou. Quem flagrou a cena pergunta quem ateou. Ninguém apagando. Mas filmando. https://t.co/tW7H9uA4rK; 2989; 11039; 41175; 1283; https://twitter.com/alexandregarcia/status/1171435970421350401; None; None
2019-09-09 23:30:42+00:00; alexandregarcia; https://t.co/DTOQP31QjW Uma obra-prima!; 45; 86; 1140; 3; https://twitter.com/alexandregarcia/status/1171204311730327557; None; None
2019-09-09 13:24:23+00:00; alexandregarcia; Quando vi, no Sete de Setembro em Porto Alegre, um grupo “de luto pela democracia”, pensei que fossem refugiadas cubanos e venezuelanos, mas era uma manifestação que demonstrava haver democracia no Brasil. https://t.co/ZnJAzVI10P; 430; 2629; 18729; 101; https://twitter.com/alexandregarcia/status/1171051725559652352; None; None
2019-09-07 12:07:19+00:00; alexandregarcia; O Brasil somos nós e nossos antepassados. Por nossos descendentes, pelos 197 anos de nossa Independência, saudemos o Brasil que é cada um. https://t.co/rbYMTfURfY; 540; 2935; 23928; 156; https://twitter.com/alexandregarcia/status/1170307556625006592; None; None
2019-09-07 00:27:52+00:00; alexandregarcia; Por que Bachelet não lamenta que é no Brasil que mais policiais são mortos? https://t.co/QJBRl5gQ8o via @YouTube; 271; 1720; 9393; 53; https://twitter.com/alexandregarcia/status/1170131535397294080; None; None
2019-09-06 21:30:33+00:00; alexandregarcia; Fogo policial em máquina de garimpeiro ontem. Não se estende para a mata. https://t.co/nSJwwCuUbL; 186; 1098; 8819; 26; https://twitter.com/alexandregarcia/status/1170086911198793728; None; None
2019-09-06 12:18:58+00:00; alexandregarcia; Hoje, do Acre a Brasília, na escuridão das 3h da madrugada às 6 da manhã, nenhum fogo visto pelo piloto e pelo copiloto, me relata o comandante da Latam.; 723; 4419; 29110; 181; https://twitter.com/alexandregarcia/status/1169948102410870785; None; None
2019-09-06 12:01:42+00:00; alexandregarcia; Semana da Pátria. https://t.co/vneHRE5Rx7; 71; 226; 2932; 10; https://twitter.com/alexandregarcia/status/1169943757007069184; None; None
2019-09-05 23:55:07+00:00; alexandregarcia; @MonicaWaldvogel Parece Rubem Braga in “Ai de ti, Copacabana”.; 4; 3; 73; 0; https://twitter.com/alexandregarcia/status/1169760905170771968; None; None
2019-09-05 21:32:38+00:00; alexandregarcia; @LedaNagle Dupla imperdível!; 13; 20; 528; 0; https://twitter.com/alexandregarcia/status/1169725046488731650; None; None
2019-09-05 21:29:17+00:00; alexandregarcia; Infante da reserva do EB, fiquei honrado em participar: https://t.co/t9S54zNokw; 74; 290; 3682; 7; https://twitter.com/alexandregarcia/status/1169724205950230529; None; https://twitter.com/exercitooficial/status/1169711349410275330
2019-09-05 18:12:36+00:00; alexandregarcia; Entre Bolsonaro e Bachelet, presidente chileno assume as dores do Chile https://t.co/3AZe88rOIK via @YouTube; 75; 133; 1418; 11; https://twitter.com/alexandregarcia/status/1169674706439614464; None; None
2019-09-05 15:24:57+00:00; alexandregarcia; Numa manhã memorável, minha incursão hoje no podcast do Exército e na Rádio Verde Oliva, em plena Semana da Pátria. https://t.co/ltpHrLI2Gg; 118; 535; 5573; 16; https://twitter.com/alexandregarcia/status/1169632517332377605; None; None
2019-09-05 11:50:56+00:00; alexandregarcia; https://t.co/SSKaqNPV4Y; 432; 5247; 21153; 389; https://twitter.com/alexandregarcia/status/1169578659423936512; None; None
2019-09-04 17:54:05+00:00; alexandregarcia; Após um almoço agradabilíssimo com 21 futuros advogados. Nova geração para gerar um Direito mais justo. https://t.co/YzQjETu0Dp; 118; 314; 4917; 8; https://twitter.com/alexandregarcia/status/1169307658731642885; None; None
2019-09-04 00:49:46+00:00; alexandregarcia; Na cadeira de Sérgio Moro, um juiz que mantém viva a Lava-https://t.co/PDjvREh2sq; 66; 675; 4845; 17; https://twitter.com/alexandregarcia/status/1169049880670744576; None; None
2019-09-04 00:17:31+00:00; alexandregarcia; A visão real: “A Amazônia não é do Brasil; a Amazônia é o Brasil”.(José Altino Machado). Assim vão nos entender.; 319; 3705; 23800; 136; https://twitter.com/alexandregarcia/status/1169041767796228097; None; None
2019-09-03 14:25:38+00:00; alexandregarcia; A Petrobras agora tem recorde de produção de petróleo. Antes, produzia propinas para uma corrupção recordista. https://t.co/lldSKEUFw2; 389; 4011; 17768; 178; https://twitter.com/alexandregarcia/status/1168892815834845185; None; None
2019-09-01 17:28:04+00:00; alexandregarcia; @caioblinder E ficava a Studebaker. https://t.co/ljhnRTWOJH; 5; 3; 67; 0; https://twitter.com/alexandregarcia/status/1168213949998882816; None; None
2019-09-01 13:52:53+00:00; alexandregarcia; “Bandeira do Brasil, ninguém te manchará. Teu povo varonil, isso não consentirá!”(Fibra de Herói) Começou a Semana da Pátria e aqui em casa o símbolo de todos nós está no alto, como aprendi com meu avô. https://t.co/AA1MZcR7P1; 606; 2326; 17823; 106; https://twitter.com/alexandregarcia/status/1168159797516165120; None; None
2019-09-01 01:43:34+00:00; alexandregarcia; Há 80 anos, na madrugada de 1º de setembro, a Polônia foi invadida, uma semana depois que comunistas e nazistas uniram-se num pacto. Duas semanas depois os soviéticos entraram pela fronteira oeste. Foram mortos 6 milhões de poloneses. Só em 1980 acabou o jugo comunista. https://t.co/9WiN0qxD4g; 428; 2752; 13738; 137; https://twitter.com/alexandregarcia/status/1167976259378274305; None; None
2019-08-31 17:55:11+00:00; alexandregarcia; Tão rápido quanto começaram, rápido acabaram os fogos de artifício amazônicos? Pensei que a industria de  fogos não fosse além da Caramuru ou da Fiat Lux. Mas a mais incendiária delas é outra: https://t.co/mvHOvtX11N; 197; 1468; 9046; 39; https://twitter.com/alexandregarcia/status/1167858384894189568; None; None
2019-08-31 01:27:28+00:00; alexandregarcia; Agora à noite, ao fim de aula magna para futuros pilotos da aviação comercial brasileira. Uma geração apostando no futuro do Brasil. https://t.co/mDKOe1pokJ; 114; 702; 9986; 15; https://twitter.com/alexandregarcia/status/1167609818330349568; None; None
2019-08-30 13:07:38+00:00; alexandregarcia; Em 7.2.2007 o sangue de João Hélio, 6 anos, ungia ruas do Rio, arrastado até a morte. Dez dias depois, a cidade festejava o carnaval. E o assassino agora vai “cumprir pena em casa”. https://t.co/XmSJifM0ux; 967; 5474; 28194; 347; https://twitter.com/alexandregarcia/status/1167423633133834241; None; https://twitter.com/gloriafperez/status/1167305491149545472
2019-08-30 12:45:33+00:00; alexandregarcia; Meu amigo coronel-bombeiro e mestre em defesa civil concorda comigo que “foco de incêndio” é apenas o começo, fácil de apagar. Já incêndio é de combate mais difícil. E as notícias só falam em focos de incêndio...; 126; 963; 7882; 26; https://twitter.com/alexandregarcia/status/1167418073944662016; None; None
2019-08-30 12:40:23+00:00; alexandregarcia; Fico infeliz quando um amigo pensa que é de minha autoria um texto panfletário que começa com “Eu não peço desculpas...”.; 116; 514; 7010; 9; https://twitter.com/alexandregarcia/status/1167416775396528128; None; None
2019-08-29 00:07:48+00:00; alexandregarcia; Observaram que a coivara não atinge a mata verde, ali, em pé? Avisem nos happy-hours. https://t.co/H4rGOPfjei; 87; 451; 3616; 7; https://twitter.com/alexandregarcia/status/1166864991821152267; None; https://twitter.com/alexandregarcia/status/1166129098307121157
2019-08-28 16:29:34+00:00; alexandregarcia; Recrudesce a cretinice que começa com “Eu não peço desculpas pelo que estou postando...”. ISSO NÃO É MEU.; 77; 492; 5940; 8; https://twitter.com/alexandregarcia/status/1166749675808010240; None; None
2019-08-28 12:04:29+00:00; alexandregarcia; Fico imaginando se isso aconteceria se a primeira mulher abordada tivesse um 32 na bolsa. https://t.co/oPdb1NaVeH; 847; 3127; 19715; 181; https://twitter.com/alexandregarcia/status/1166682967227424770; None; https://twitter.com/correio/status/1166645835507089408
2019-08-27 01:41:43+00:00; alexandregarcia; Fogaréu de mentiras sobre a Amazônia. E os galos e o tico-tico. https://t.co/3yTnUpT1Gg via @YouTube; 199; 1297; 8348; 41; https://twitter.com/alexandregarcia/status/1166163854562418689; None; None
2019-08-26 23:23:37+00:00; alexandregarcia; @RdGuaibaOficial @correio_dopovo Foto honesta. Mata derrubada que ficou secando meses. Depois queimada para preparar o solo. A coivara secular.; 54; 188; 2170; 8; https://twitter.com/alexandregarcia/status/1166129098307121157; None; None
2019-08-26 02:31:57+00:00; alexandregarcia; No YouTube de hoje(se gostar, inscreva-se): O herói Caxias e a união pela Amazônia - tudo a ver. https://t.co/FVN1rXRjCR; 64; 505; 4399; 12; https://twitter.com/alexandregarcia/status/1165814108865925123; None; None
2019-08-25 18:07:38+00:00; alexandregarcia; Que falta de sorte! A mulher já era vítima e ainda foi atropelada. https://t.co/zIlBUZVto9; 254; 288; 3627; 26; https://twitter.com/alexandregarcia/status/1165687189914685440; None; None
2019-08-25 17:42:15+00:00; alexandregarcia; @joycedmota @elenalandau Não faça o que eu já fiz.; 29; 37; 1022; 0; https://twitter.com/alexandregarcia/status/1165680803638140930; None; None
2019-08-25 17:28:13+00:00; alexandregarcia; @OficialNeyander Achei o último. É uma fêmea! https://t.co/9Nb1thlk4v; 36; 30; 710; 0; https://twitter.com/alexandregarcia/status/1165677270712893445; None; None
2019-08-25 17:13:39+00:00; alexandregarcia; A última da Amazônia! Vou chamá-la de Nióbia. https://t.co/jG7dVxue2H; 1788; 3863; 35630; 357; https://twitter.com/alexandregarcia/status/1165673604484423681; None; None
2019-08-25 17:03:10+00:00; alexandregarcia; Rinocerontes amazônicos antes de 1º de janeiro. Agora extintos. https://t.co/25FVFMqoQq; 1319; 3047; 27877; 250; https://twitter.com/alexandregarcia/status/1165670967911354378; None; None
2019-08-25 16:58:53+00:00; alexandregarcia; Minha última convivência com a fauna amazônica. https://t.co/mbaWzpoKcY; 1480; 1890; 24471; 203; https://twitter.com/alexandregarcia/status/1165669889463541760; None; None
2019-08-25 16:52:10+00:00; alexandregarcia; @fmst0cc0 Seria muita carne de pescoço. Sauvez les giraffes!; 7; 3; 249; 0; https://twitter.com/alexandregarcia/status/1165668201105170434; None; None
2019-08-25 16:22:16+00:00; alexandregarcia; @mano_quem Este é o nosso. ENGESA. Super! https://t.co/T4YvVKwdaJ; 7; 2; 78; 0; https://twitter.com/alexandregarcia/status/1165660674678231046; None; None
2019-08-25 16:15:55+00:00; alexandregarcia; Meus sobrinhos Carol e Pedro me mandaram fotos de seus churrascos de hoje. Confesso que a princípio pensei serem fotos de Macron sobre a Amazônia. https://t.co/xCWetLZUyy; 1297; 1330; 16848; 171; https://twitter.com/alexandregarcia/status/1165659078422663169; None; None
2019-08-25 02:06:25+00:00; alexandregarcia; No DIA DO SOLDADO, minha saudação a todos da ativa e da reserva da Pátria, no momento em que brasileiros ficam em prontidão em defesa da soberania. Nesta foto de há exatos 60 anos, me vejo numa antecipação da infantaria blindada, no nosso sempre Regimento Gomes Carneiro. AÇO!🇧🇷 https://t.co/hxSlIhPMym; 453; 1492; 16634; 49; https://twitter.com/alexandregarcia/status/1165445293225234440; None; None
2019-08-24 15:47:12+00:00; alexandregarcia; Meus companheiros seguidores, não esqueçam jamais, para não serem enganados: fatos geram notícias mas notícias não geram fatos. Fatos não precisam de ajuda; se ajudados, sofrem distorções.; 1209; 8573; 52042; 415; https://twitter.com/alexandregarcia/status/1165289463217565696; None; None
2019-08-24 01:30:25+00:00; alexandregarcia; Outro ganho é que o tiro saiu pela culatra. Deram aos brasileiros mais um motivo de união: a defesa da Amazônia - dos outros e de alguns de nós. https://t.co/33TrGXNfVf; 504; 3181; 17369; 142; https://twitter.com/alexandregarcia/status/1165073845675597827; None; https://twitter.com/alexandregarcia/status/1165052769599926272
2019-08-24 00:32:52+00:00; alexandregarcia; Histeria excita perdedores de outubro: Amazônia. Bolsonaro e Macron: Amazônia x Notre Dame; queimadas do passado nx explosões nucleares do passado. E o projeto para constranger agentes da lei. Tudo agora no https://t.co/qNl0oGooLZ; 155; 1122; 6276; 42; https://twitter.com/alexandregarcia/status/1165059361384873985; None; None
2019-08-24 00:06:40+00:00; alexandregarcia; Um ganho nessa polêmica é que as pessoas estão buscando saber mais sobre o clima. Aí, deixarão de ser tapeadas e aterrorizadas. E saberão que quem manda no clima da terra, desde sempre, são as explosões solares. A gente até ajuda se não sujar, mas não decide.; 606; 3875; 21963; 176; https://twitter.com/alexandregarcia/status/1165052769599926272; None; None
2019-08-23 23:56:12+00:00; alexandregarcia; Bolsonaro poderia convidar Macron a sobrevoar a Amazônia brasileira. Equivaleria sobrevoar a França quase oito vezes. Só para cair na real. Em uma semana conseguiria. Poderia entrar pela fronteira da França com o Brasil, no Amapá.; 2768; 8388; 53755; 617; https://twitter.com/alexandregarcia/status/1165050134977294337; None; None
2019-08-23 23:42:29+00:00; alexandregarcia; Para consolar Macron, depois do recente revés eleitoral, abrimos um francês da Provence. Minha mulher elogiou assim: Está tão bom quanto um chileno; nem parece francês. On s’amuse...; 562; 1707; 15470; 99; https://twitter.com/alexandregarcia/status/1165046683018956800; None; None
2019-08-23 02:32:04+00:00; alexandregarcia; Oportunas perguntas de jornalistas gaúchos. https://t.co/5JkVhdboD4; 52; 142; 2595; 1; https://twitter.com/alexandregarcia/status/1164726972490104833; None; None
2019-08-22 01:04:33+00:00; alexandregarcia; @EPICSKY11 Meu amigão.; 0; 0; 2; 0; https://twitter.com/alexandregarcia/status/1164342561693163521; None; None
2019-08-22 00:54:21+00:00; alexandregarcia; @chrisPLgalvao Na organização de cada minuto.; 1; 2; 22; 0; https://twitter.com/alexandregarcia/status/1164339992119906304; None; None
2019-08-22 00:53:29+00:00; alexandregarcia; @phbruno214 Zero; 0; 0; 3; 0; https://twitter.com/alexandregarcia/status/1164339775349895168; None; None
2019-08-21 13:58:50+00:00; alexandregarcia; O ônibus da ponte e os ônibus das nossas cidades. Quando vamos ter mobilidade urbana de verdade? https://t.co/iYnGaW0BtE; 48; 227; 3179; 2; https://twitter.com/alexandregarcia/status/1164175028520390656; None; None
2019-08-21 12:18:18+00:00; alexandregarcia; Resumos das principais notícias do dia a dia, com Alexandre Garcia. (21/... https://t.co/VwsMS0UWNX via @YouTube; 20; 143; 1601; 3; https://twitter.com/alexandregarcia/status/1164149726910078976; None; None
2019-08-21 02:01:11+00:00; alexandregarcia; Vai ser divertido esse game... https://t.co/gx1dlAxaUq; 62; 92; 2399; 2; https://twitter.com/alexandregarcia/status/1163994424881352705; None; https://twitter.com/garciajulia/status/1163942415415353344
2019-08-20 22:33:04+00:00; alexandregarcia; Alexandre Garcia é o novo colunista do Estado de Minas - Politica - Estado de Minas https://t.co/h6BobvK70j; 1166; 2230; 30742; 145; https://twitter.com/alexandregarcia/status/1163942049500073984; None; None
2019-08-20 17:12:34+00:00; alexandregarcia; Na ponte Rio-Niteroi, evitou-se uma nova Janaúba. Na escola da professora Heley, foram 14; no ônibus, estavam 37. Parabéns ao BOPE e @PMERJ !; 373; 3755; 31611; 106; https://twitter.com/alexandregarcia/status/1163861396112781312; None; None
2019-08-19 23:32:11+00:00; alexandregarcia; @AgricioBalbi Já que provocou: sim; mas em 1º de junho de 1935... https://t.co/pNz4jEqivS; 1; 0; 3; 0; https://twitter.com/alexandregarcia/status/1163594541338898433; None; None
2019-08-19 21:24:04+00:00; alexandregarcia; Ultrapassamos hoje o 1.600.000. Obrigado, Amigos! Espero estar sempre merecendo a companhia de vocês.; 1472; 2679; 50401; 113; https://twitter.com/alexandregarcia/status/1163562300290338817; None; None
2019-08-19 16:41:21+00:00; alexandregarcia; @JpFrambachh Grande Oficial da Ordem do Mérito Aeronáutico.; 1; 0; 50; 0; https://twitter.com/alexandregarcia/status/1163491151564955648; None; None
2019-08-19 16:18:58+00:00; alexandregarcia; Hoje, 50 anos de EMBRAER. No último Dia do Aviador, a incorporação do mais novo produto, o KC390, na companhia do Comandante Batista. Ozires Silva, um dos fundadores, é um Santos Dumont contemporâneo. https://t.co/XI16qsz1Bd; 94; 535; 6287; 15; https://twitter.com/alexandregarcia/status/1163485515640975361; None; None
2019-08-18 03:52:31+00:00; alexandregarcia; E passou esse abuso pelos senadores e pelos deputados. Criminosos de todos os níveis conseguiram mais uma lei, além de tantas outras, para terem vida ainda mais fácil no Brasil. Agora vai para a bic do Presidente. O que fará Bolsonaro? https://t.co/45Ig4zrHJC; 1918; 4460; 21436; 638; https://twitter.com/alexandregarcia/status/1162935280107696129; None; None
2019-08-17 15:45:05+00:00; alexandregarcia; Por quem dobram os sinos da Amazônia? https://t.co/fVuMEpNuY8; 130; 640; 4041; 19; https://twitter.com/alexandregarcia/status/1162752214982647812; None; None
2019-08-17 13:53:14+00:00; alexandregarcia; Aproveitem o sábado que já começou! https://t.co/W69uEIATWS; 125; 121; 3805; 9; https://twitter.com/alexandregarcia/status/1162724066052190211; None; None
2019-08-17 00:52:08+00:00; alexandregarcia; Quer dizer, o saca-rolhas saca muito além das rolhas. Porque depois, é o vinho que abre. In vino veritas. https://t.co/BQ8TKa0Rim; 36; 55; 1285; 1; https://twitter.com/alexandregarcia/status/1162527494735572992; None; https://twitter.com/JuliaMe75489206/status/1162382594236919808
2019-08-17 00:45:53+00:00; alexandregarcia; @CrisSousaCruz A enofilosofia: o que vem antes - o vinho ou o abridor? Beijos, Cris!; 4; 1; 47; 0; https://twitter.com/alexandregarcia/status/1162525922618200065; None; None
2019-08-17 00:39:49+00:00; alexandregarcia; Perdão: O que é uma garrafa de vinho sem um saca-rolhas? https://t.co/pB34HxRkyY; 124; 83; 1698; 7; https://twitter.com/alexandregarcia/status/1162524395287564291; None; https://twitter.com/ADraeng/status/1162370644568420352
2019-08-16 14:06:27+00:00; alexandregarcia; Entrei agora na loja de vinhos para comprar um abridor. Meu saca-rolhas havia quebrado. Acabei levando meia dúzia de garrafas. E o abridor foi brinde. Moral da história: o essencial pode ser grátis e o secundário ficar caro.; 979; 2086; 27656; 122; https://twitter.com/alexandregarcia/status/1162365002856243201; None; None
2019-08-16 03:01:32+00:00; alexandregarcia; @AgricioBalbi Desculpe a mim. É que meu Google é só minha memória. Obrigado.; 2; 0; 11; 0; https://twitter.com/alexandregarcia/status/1162197671173472261; None; None
2019-08-16 02:56:38+00:00; alexandregarcia; Mais uma lei para proteger o fora-da-lei: https://t.co/PMObvLH2ps; 129; 709; 3896; 18; https://twitter.com/alexandregarcia/status/1162196441701343232; None; None
2019-08-16 02:52:35+00:00; alexandregarcia; @bbcbrasil BB: baleias &amp; Barcarena.; 74; 262; 3587; 6; https://twitter.com/alexandregarcia/status/1162195419281027077; None; None
2019-08-16 02:15:15+00:00; alexandregarcia; @correio Mas tem B: baleia e Barcarena. A suspensão pode fazer mas para ONGs mas faz bem para nossa soberania.; 132; 344; 3915; 13; https://twitter.com/alexandregarcia/status/1162186024358948864; None; None
2019-08-16 02:01:24+00:00; alexandregarcia; @AnaPaulaVolei Sugiro entrar na Basilica do Santa Croce, ver quem está enterrado lá e segurar o queixo para não cair. E se for  a Milão, sugiro um dia(que será insuficiente) para visitar o Cementero Monumentale(10 a zero no Père Lachaise).; 37; 96; 3134; 1; https://twitter.com/alexandregarcia/status/1162182538024165376; None; None
2019-08-16 01:46:39+00:00; alexandregarcia; @EuSouROBOT https://t.co/WRKIaLVar3; 0; 0; 7; 0; https://twitter.com/alexandregarcia/status/1162178827918991360; None; None
2019-08-16 00:46:19+00:00; alexandregarcia; No dia em que os cubanos têm que comemorar o aniversário de Fidel, aproveito para recomendar esta leitura: https://t.co/zdK3EmvM9M; 82; 698; 3583; 23; https://twitter.com/alexandregarcia/status/1162163642663677952; None; None
2019-08-15 19:04:41+00:00; alexandregarcia; O primeiro filme a cores faz hoje 80 anos e continua atual em suas mensagens. https://t.co/Iq9nY1RGTM; 54; 185; 2769; 1; https://twitter.com/alexandregarcia/status/1162077670907293702; None; None
2019-08-15 01:48:06+00:00; alexandregarcia; Querem preservar a Amazônia ou querem nióbio, por exemplo? A Amazônia é nossa e o nióbio também: https://t.co/9EMQCHYQOP; 306; 2415; 12949; 107; https://twitter.com/alexandregarcia/status/1161816803833724928; None; None
2019-08-14 18:11:03+00:00; alexandregarcia; Saiu foto no jornal, da manifestação em Brasília. Contei, com lupa. Deu umas 500 pessoas. Vamos conceder que houvesse 900. A legenda da foto afirma que havia 9000. Um zero a mais. Em que você confiaria? Na foto ou na legenda? https://t.co/RYuYaYEZu7; 1203; 4772; 27786; 234; https://twitter.com/alexandregarcia/status/1161701782835343360; None; https://twitter.com/alexandregarcia/status/1161426051517444097
2019-08-14 00:59:11+00:00; alexandregarcia; A cobiça de olho na nossa Amazônia, no YouTube de ontem: https://t.co/VY85TP0CLj; 55; 486; 3188; 9; https://twitter.com/alexandregarcia/status/1161442108449988608; None; None
2019-08-13 23:55:23+00:00; alexandregarcia; Hoje foi dia de meu diploma de jornalista ficar ruborizado. Na falta de número oficial, ouvi no rádio que havia “muita gente” nas manifestações. Agora é preciso saber quanto é muita gente para a repórter: 300 pessoas, 3 mil, 30 mil, 300 mil?; 3392; 6740; 49988; 469; https://twitter.com/alexandregarcia/status/1161426051517444097; None; None
2019-08-13 22:27:43+00:00; alexandregarcia; Com o teu Dell parado, paro eu também - como chegar a mais de um milhão de amigos? https://t.co/wuIFGLeFKR; 26; 46; 949; 0; https://twitter.com/alexandregarcia/status/1161403989164007425; None; https://twitter.com/garciajulia/status/1160724314037112832
2019-08-13 20:52:00+00:00; alexandregarcia; Cores de fim de tarde. https://t.co/EBF7VKF1Ki; 67; 73; 1919; 1; https://twitter.com/alexandregarcia/status/1161379900684734464; None; None
2019-08-13 10:30:45+00:00; alexandregarcia; Eu e minha representante. https://t.co/4t1Yin7GsV; 213; 1233; 17006; 32; https://twitter.com/alexandregarcia/status/1161223556937781248; None; https://twitter.com/Biakicis/status/1161116775154638849
2019-08-13 00:22:06+00:00; alexandregarcia; Recomendo, vicina al Pantheon: https://t.co/ixeLPi23cY https://t.co/M8GXVfaKSx; 49; 88; 2018; 2; https://twitter.com/alexandregarcia/status/1161070387750457344; None; https://twitter.com/AnaPaulaVolei/status/1161053240684945408
2019-08-12 03:10:57+00:00; alexandregarcia; Caramuru: Atirou em Moro e acertou no PT https://t.co/JFQarxnLqy via @YouTube; 73; 580; 4104; 15; https://twitter.com/alexandregarcia/status/1160750493003669510; None; None
2019-08-11 17:13:18+00:00; alexandregarcia; Noel Rosa - Conversa de Botequim (Gravação Original) https://t.co/HdEkpmgWhm via @YouTube; 18; 66; 932; 2; https://twitter.com/alexandregarcia/status/1160600086965096450; None; None
2019-08-11 17:08:27+00:00; alexandregarcia; No Dia do Advogado, meu reconhecimento a todos os que praticam a união indissolúvel da Ética com o Direito, como os advogados Eliene Bastos e Iran Amaral, meus mais próximos. E, primus inter pares, Ives Gandra Martins.; 85; 484; 6108; 11; https://twitter.com/alexandregarcia/status/1160598868129660928; None; None
2019-08-11 16:30:14+00:00; alexandregarcia; @FilipeTafas Colorado. O entrevistado é o presidente do Grêmio, Ari Delgado.; 2; 0; 4; 0; https://twitter.com/alexandregarcia/status/1160589250997432321; None; None
2019-08-11 16:27:51+00:00; alexandregarcia; E vocês perceberam que pai é singular e garçom é plural? https://t.co/af1H94y6lg; 59; 271; 4648; 7; https://twitter.com/alexandregarcia/status/1160588649181917184; None; https://twitter.com/alexandregarcia/status/1160567662298226688
2019-08-11 16:15:19+00:00; alexandregarcia; @Leo_Elnisky Parabéns! Pode se orgulhar.; 0; 0; 197; 0; https://twitter.com/alexandregarcia/status/1160585497581895680; None; None
2019-08-11 16:14:12+00:00; alexandregarcia; @bandira79 Sirva e será servido.; 2; 2; 108; 0; https://twitter.com/alexandregarcia/status/1160585215879897090; None; None
